language,vulnerability_type,vulnerable_code,fixed_code
Java,Broken Authentication,"if(request.getParameter(""auth"") != null && request.getParameter(""auth"").equals(""staticToken"")) { performLogin(); }","if(request.getParameter(""auth"") != null && TokenValidator.validate(request.getParameter(""auth""))) { performLogin(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""roleChange"") != null) { changeRole(request.getParameter(""roleChange"")); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isSuperAdmin()) { changeRole(request.getParameter(""roleChange"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""grantAccess"") != null) { grantAccessToFeature(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).hasPrivilege(""FEATURE_ACCESS"")) { grantAccessToFeature(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,setAdminFlag(true);,"if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isSuperAdmin()) { setAdminFlag(true); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""upgradeLevel"").equals(""2"")) { upgradeUserLevel(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).hasPrivilege(""UPGRADE_LEVEL"")) { upgradeUserLevel(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"String adminParam = request.getParameter(""adminAction"");\nif(adminParam.equals(""delete"")) { deleteRecord(); }","User currentUser = (User) session.getAttribute(""user"");\nif(currentUser != null && currentUser.isAdmin() && adminParam.equals(""delete"")) { deleteRecord(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""roleChange"") != null) { changeRole(request.getParameter(""roleChange"")); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isSuperAdmin()) { changeRole(request.getParameter(""roleChange"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""accessReport"").equals(""true"")) { generateReport(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).hasPrivilege(""VIEW_REPORTS"")) { generateReport(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"updateAccount(request.getParameter(""accountData""));","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).canUpdateAccount()) { updateAccount(request.getParameter(""accountData"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""cancel"") != null) { processOrder(request.getParameter(""orderId"")); }","if(session.getAttribute(""user"") != null && OrderService.isOrderOwnedByUser(request.getParameter(""orderId""), userId)) { processOrder(request.getParameter(""orderId"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"double total = Double.parseDouble(request.getParameter(""total""));",double total = OrderService.calculateTotal(orderId);
Java,Broken Authentication,"if(request.getParameter(""bonusClaim"") != null && request.getParameter(""bonusClaim"").equals(""true"")) { account.credit(50); }","if(request.getParameter(""bonusClaim"") != null && ReferralService.isValidReferral(userId, referredUserId)) { account.credit(ReferralService.getBonus()); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"double total = Double.parseDouble(request.getParameter(""total""));",double total = OrderService.calculateTotal(orderId);
Java,Broken Authentication,"if(request.getParameter(""upgrade"") != null && request.getParameter(""upgrade"").equals(""true"")) { account.setSubscription(""premium""); }","if(session.getAttribute(""user"") != null && UserService.isEligibleForUpgrade(userId)) { account.setSubscription(""premium""); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""referralBonus"") != null && request.getParameter(""referralBonus"").equals(""true"")) { account.credit(50); }","if(request.getParameter(""referralBonus"") != null && ReferralService.isValidReferral(userId, referredUserId)) { account.credit(ReferralService.getBonus()); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"double tax = Double.parseDouble(request.getParameter(""taxRate"")) * orderTotal;",double taxRate = TaxService.getTaxRate(location);\ndouble tax = taxRate * orderTotal;
Java,Broken Authentication,"double total = Double.parseDouble(request.getParameter(""total""));",double total = OrderService.calculateTotal(orderId);
Java,Broken Authentication,"if(request.getParameter(""upgrade"") != null && request.getParameter(""upgrade"").equals(""true"")) { account.setSubscription(""premium""); }","if(session.getAttribute(""user"") != null && UserService.isEligibleForUpgrade(userId)) { account.setSubscription(""premium""); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""referralBonus"") != null && request.getParameter(""referralBonus"").equals(""true"")) { account.credit(50); }","if(request.getParameter(""referralBonus"") != null && ReferralService.canClaimBonus(userId)) { account.credit(ReferralService.getBonusAmount()); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"int pointsUsed = Integer.parseInt(request.getParameter(""pointsUsed""));\ntotal -= pointsUsed * pointValue;","int pointsUsed = Integer.parseInt(request.getParameter(""pointsUsed""));\nif(pointsUsed <= LoyaltyService.getAvailablePoints(userId)) {\n    total -= pointsUsed * pointValue;\n} else {\n    throw new IllegalArgumentException(""Not enough loyalty points available"");\n"""
Java,Broken Authentication,"account.setSubscription(request.getParameter(""subscription""));",account.setSubscription(UserService.getSubscriptionLevel(userId));
Java,Broken Authentication,"if(request.getParameter(""promote"") != null && request.getParameter(""promote"").equals(""true"")) { promoteUser(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isAdmin() && request.getParameter(""promote"").equals(""true"")) { promoteUser(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""bonusAmount"") != null) { account.credit(Double.parseDouble(request.getParameter(""bonusAmount""))); }",var token = account.credit(50);
Java,Broken Authentication,"if(request.getParameter(""jwtToken"") != null) { validateJWT(request.getParameter(""jwtToken"")); }","JWTVerifier verifier = JWT.require(Algorithm.HMAC256(System.getenv(""JWT_SECRET""))).build();\nDecodedJWT jwt = verifier.verify(request.getParameter(""jwtToken""));"
Java,Broken Authentication,"user.Role = Request.Form[""role""];","user.Role = ((User)Session[""user""]).Role;"
C#,Broken Authentication,"account.Membership = Request.Form[""membership""];",account.Membership = MembershipService.GetMembershipLevel(user.Id);
C#,Broken Authentication,"String token = \ABC123\"";\nif(token.equals(request.getParameter(\""token\""))) { loginUser(); }""","String token = TokenService.generateSecureToken();\nTokenService.storeTokenForUser(username, token);\nif(token.equals(request.getParameter(\token\""))) { loginUser(); } else { throw new SecurityException(\""Invalid token\""); }"""
C#,Broken Authentication,"if(UserStore.authenticate(username, password)) { loginUser(); }","if(UserStore.authenticate(username, password)) {\n    if(!LoginAttemptService.isLocked(username)) {\n        loginUser();\n    } else {\n        throw new SecurityException(\Account locked\"");\n    }\n} else {\n    LoginAttemptService.recordFailedAttempt(username);\n    throw new SecurityException(\""Invalid credentials\"");\n}"""
C#,Broken Authentication,"if(Request.Params[""setPrivilege""] == ""all"") { GrantAllPrivileges(); }","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { GrantAllPrivileges(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.QueryString[""elevate""] == ""true"") { EnableElevatedMode(); }","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""ELEVATE_PRIVILEGES"")) { EnableElevatedMode(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"account.Membership = Request.Form[""membership""];",account.Membership = MembershipService.GetMembershipLevel(user.Id);
C#,Broken Authentication,"string newRole = Request.Form[""newRole""];\nChangeUserRole(newRole);","if(Session[""user""] != null && ((User)Session[""user""]).IsSuperAdmin) { string newRole = Request.Form[""newRole""]; ChangeUserRole(newRole); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.Params[""adminAction""] == ""delete"") { DeleteUser(Request.Params[""userId""]); }","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { if(Request.Params[""adminAction""] == ""delete"") { DeleteUser(Request.Params[""userId""]); } } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.QueryString[""upgradeLevel""] == ""2"") { UpgradeLevel(); }","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""UPGRADE_LEVEL"")) { if(Request.QueryString[""upgradeLevel""] == ""2"") { UpgradeLevel(); } } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,AccessSecretData();,"// Fixed: Check admin privilege before accessing sensitive data\nif(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { AccessSecretData(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"ChangePassword(Request.Form[""newPassword""]);","if(Session[""user""] != null && ((User)Session[""user""]).CanChangePassword) { ChangePassword(Request.Form[""newPassword""]); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.Params[""grantAccess""] == ""true"") { GrantAccess(); }","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""GRANT_ACCESS"")) { GrantAccess(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"DeleteRecord(Request.QueryString[""recordId""]);","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { DeleteRecord(Request.QueryString[""recordId""]); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.QueryString[""adminDashboard""] == ""true"") { ShowAdminDashboard(); }","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { ShowAdminDashboard(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"UpdateSystemSettings(Request.Form[""settingsData""]);","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""UPDATE_SETTINGS"")) { UpdateSystemSettings(Request.Form[""settingsData""]); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"ProcessTransaction(Request.Form[""transactionId""]);","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""PROCESS_TRANSACTION"")) { ProcessTransaction(Request.Form[""transactionId""]); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.Params[""accessHR""] == ""true"") { AccessHRData(); }","if(Session[""user""] != null && ((User)Session[""user""]).IsHR) { AccessHRData(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,UpdateUserProfile();,"if(Session[""user""] != null && ((User)Session[""user""]).CanUpdateProfile) { UpdateUserProfile(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.QueryString[""setPrivilege""] == ""all"") { SetAllPrivileges(); }","if(Session[""user""] != null && ((User)Session[""user""]).IsSuperAdmin) { SetAllPrivileges(); } else { throw new UnauthorizedAccessException(); }"
C#,Broken Authentication,"if(Request.Params[""promote""] == ""true"") { PromoteUser(Request.Params[""userId""]); }","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { if(Request.Params[""promote""] == ""true"") { PromoteUser(Request.Params[""userId""]); } } else { throw new UnauthorizedAccessException(); }"
Java,Privilege Escalation,"if(request.getParameter(""action"").equals(""deleteAccount"")) { deleteAccount(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isAdmin()) { deleteAccount(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"String role = request.getParameter(""role""); 
user.setRole(role);","// Do not trust client-supplied role
user.setRole(User.Role.USER);"
Java,Privilege Escalation,"if(request.getParameter(""accessLevel"").equals(""superuser"")) { enableSuperFeatures(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).hasPrivilege(""SUPERUSER"")) { enableSuperFeatures(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""isAdmin"").equals(""yes"")) { adminPanel(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isAdmin()) { adminPanel(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"updateUserProfile(request.getParameter(""profileData""));  // No role check","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).canUpdateProfile()) { updateUserProfile(request.getParameter(""profileData"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""deleteUser"") != null) { userService.deleteUser(request.getParameter(""userId"")); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isAdmin()) { userService.deleteUser(request.getParameter(""userId"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""upgrade"") != null && request.getParameter(""upgrade"").equals(""true"")) { userService.upgradeAccount(); }","if(session.getAttribute(""user"") != null && UserService.isEligibleForUpgrade(userId)) { userService.upgradeAccount(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""coupon"") != null) { applyCoupon(request.getParameter(""coupon"")); }","String coupon = request.getParameter(""coupon"");
if(coupon != null && !CouponService.isCouponUsed(userId, coupon)) {
    applyCoupon(coupon);
    CouponService.markAsUsed(userId, coupon);
} else if(coupon != null) { throw new IllegalArgumentException(""Coupon already used""); }"
Java,Privilege Escalation,"if(request.getParameter(""auth"").equals(""true"")) { initiateSession(); }","if(request.getParameter(""auth"") != null && AuthService.validateAuth(request.getParameter(""auth""))) { initiateSession(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""key"") != null && request.getParameter(""key"").equals(""fixedKey"")) { accessResource(); }","if(request.getParameter(""key"") != null && KeyValidator.validate(request.getParameter(""key""))) { accessResource(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"User user = loginManager.login(request.getParameter(""user""), request.getParameter(""pwd""));","User user = loginManager.login(request.getParameter(""user""), HashUtil.hashPassword(request.getParameter(""pwd"")));
if(user == null) { throw new SecurityException(""Invalid login""); }"
Java,Privilege Escalation,"if(request.getParameter(""token"") != null && request.getParameter(""token"").equals(""staticToken"")) { performLogin(); }","if(request.getParameter(""token"") != null && TokenService.validateToken(request.getParameter(""token""))) { performLogin(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""roleChange"") != null) { changeRole(request.getParameter(""roleChange"")); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isSuperAdmin()) { changeRole(request.getParameter(""roleChange"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""grantAccess"") != null) { grantAccessToFeature(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).hasPrivilege(""FEATURE_ACCESS"")) { grantAccessToFeature(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,setAdminFlag(true);,"if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isSuperAdmin()) { setAdminFlag(true); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""upgradeLevel"").equals(""2"")) { upgradeUserLevel(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).hasPrivilege(""UPGRADE_LEVEL"")) { upgradeUserLevel(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"String adminParam = request.getParameter(""adminAction"");\nif(adminParam.equals(""delete"")) { deleteRecord(); }","User currentUser = (User)session.getAttribute(""user"");
if(currentUser != null && currentUser.isAdmin() && adminParam.equals(""delete"")) { deleteRecord(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"updateAccount(request.getParameter(""accountData""));","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).canUpdateAccount()) { updateAccount(request.getParameter(""accountData"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""cancel"") != null) { processOrder(request.getParameter(""orderId"")); }","if(session.getAttribute(""user"") != null && OrderService.isOrderOwnedByUser(request.getParameter(""orderId""), userId)) { processOrder(request.getParameter(""orderId"")); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"double total = Double.parseDouble(request.getParameter(""total""));",double total = OrderService.calculateTotal(orderId);
Java,Privilege Escalation,"if(request.getParameter(""subscribe"") != null && request.getParameter(""subscribe"").equals(""free"")) { account.setSubscription(""free""); }","if(session.getAttribute(""user"") != null && UserService.isEligibleForFreeSubscription(userId)) { account.setSubscription(""free""); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""bonusClaim"") != null && request.getParameter(""bonusClaim"").equals(""true"")) { account.credit(50); }","if(request.getParameter(""bonusClaim"") != null && ReferralService.canClaimBonus(userId)) { account.credit(ReferralService.getBonusAmount()); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""jwtToken"") != null) { validateJWT(request.getParameter(""jwtToken"")); }","JWTVerifier verifier = JWT.require(Algorithm.HMAC256(System.getenv(""JWT_SECRET""))).build();\nDecodedJWT jwt = verifier.verify(request.getParameter(""jwtToken""));"
Java,Privilege Escalation,"if(request.getParameter(""referralBonus"") != null && request.getParameter(""referralBonus"").equals(""claim"")) { account.credit(50); }","if(request.getParameter(""referralBonus"") != null && ReferralService.isValidReferral(userId, referredUserId)) { account.credit(ReferralService.getBonus()); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""pointsUsed"") != null) { int points = Integer.parseInt(request.getParameter(""pointsUsed""));\n total -= points * pointValue; }","if(request.getParameter(""pointsUsed"") != null) { int points = Integer.parseInt(request.getParameter(""pointsUsed""));\n if(points <= LoyaltyService.getAvailablePoints(userId)) {\n    total -= points * pointValue;\n } else {\n    throw new IllegalArgumentException(""Not enough loyalty points available"");\n } }"
Java,Privilege Escalation,"account.setSubscription(request.getParameter(""subscription""));",account.setSubscription(UserService.getSubscriptionLevel(userId));
Java,Privilege Escalation,"if(request.getParameter(""promote"") != null && request.getParameter(""promote"").equals(""true"")) { promoteUser(); }","if(session.getAttribute(""user"") != null && ((User)session.getAttribute(""user"")).isAdmin() && request.getParameter(""promote"").equals(""true"")) { promoteUser(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""bonusAmount"") != null) { account.credit(Double.parseDouble(request.getParameter(""bonusAmount""))); }",account.credit(BonusService.calculateBonus(userId));
Java,Privilege Escalation,"double tax = Double.parseDouble(request.getParameter(""taxRate"")) * orderTotal;",double taxRate = TaxService.getTaxRate(location);\ndouble tax = taxRate * orderTotal;
Java,Privilege Escalation,"double total = Double.parseDouble(request.getParameter(""total""));",double total = OrderService.calculateTotal(orderId);
Java,Privilege Escalation,"if(request.getParameter(""upgrade"") != null && request.getParameter(""upgrade"").equals(""true"")) { account.setSubscription(""premium""); }","if(session.getAttribute(""user"") != null && UserService.isEligibleForUpgrade(userId)) { account.setSubscription(""premium""); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""referralBonus"") != null && request.getParameter(""referralBonus"").equals(""true"")) { account.credit(50); }","if(request.getParameter(""referralBonus"") != null && ReferralService.canClaimBonus(userId)) { account.credit(ReferralService.getBonusAmount()); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Privilege Escalation,"if(request.getParameter(""jwtToken"") != null) { validateJWT(request.getParameter(""jwtToken"")); }","JWTVerifier verifier = JWT.require(Algorithm.HMAC256(System.getenv(""JWT_SECRET""))).build();\nDecodedJWT jwt = verifier.verify(request.getParameter(""jwtToken""));"
C#,Privilege Escalation,"if(Request.QueryString[""role""] == ""admin"") { GrantAdminAccess(); }","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { GrantAdminAccess(); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"user.Role = Request.Form[""role""];","user.Role = ((User)Session[""user""]).Role;"
C#,Privilege Escalation,"if(Request.Form[""upgrade""] == ""true"") { UpgradeAccount(); }","if(Session[""user""] != null && ((User)Session[""user""]).CanUpgradeAccount) { UpgradeAccount(); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"if(Request.Params[""setPrivilege""] == ""all"") { GrantAllPrivileges(); }","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { GrantAllPrivileges(); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"if(Request.QueryString[""elevate""] == ""true"") { EnableElevatedMode(); }","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""ELEVATE_PRIVILEGES"")) { EnableElevatedMode(); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"account.Membership = Request.Form[""membership""];",account.Membership = MembershipService.GetMembershipLevel(user.Id);
C#,Privilege Escalation,"string newRole = Request.Form[""newRole""];\nChangeUserRole(newRole);","if(Session[""user""] != null && ((User)Session[""user""]).IsSuperAdmin) { string newRole = Request.Form[""newRole""]; ChangeUserRole(newRole); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"if(Request.Params[""adminAction""] == ""delete"") { DeleteUser(Request.Params[""userId""]); }","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { if(Request.Params[""adminAction""] == ""delete"") { DeleteUser(Request.Params[""userId""]); } } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"if(Request.QueryString[""upgradeLevel""] == ""2"") { UpgradeLevel(); }","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""UPGRADE_LEVEL"")) { if(Request.QueryString[""upgradeLevel""] == ""2"") { UpgradeLevel(); } } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,AccessSecretData();,"if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { AccessSecretData(); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"ChangePassword(Request.Form[""newPassword""]); ","if(Session[""user""] != null && ((User)Session[""user""]).CanChangePassword) { ChangePassword(Request.Form[""newPassword""]); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"if(Request.Params[""grantAccess""] == ""true"") { GrantAccess(); }","if(Session[""user""] != null && ((User)Session[""user""]).HasPrivilege(""GRANT_ACCESS"")) { GrantAccess(); } else { throw new UnauthorizedAccessException(); }"
C#,Privilege Escalation,"DeleteRecord(Request.QueryString[""recordId""]); ","if(Session[""user""] != null && ((User)Session[""user""]).IsAdmin) { DeleteRecord(Request.QueryString[""recordId""]); } else { throw new UnauthorizedAccessException(); }"
